study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB45207	SAMEA8898620	ERX5643144	ERR6002388	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/008/ERR6002388/ERR6002388.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002388/Ion_B1_2.IonCode_0174.fastq.gz	
PRJEB45207	SAMEA8898620	ERX5643145	ERR6002389	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/009/ERR6002389/ERR6002389.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002389/Ion_B1_3.IonCode_0175.fastq.gz	
PRJEB45207	SAMEA8898620	ERX5643146	ERR6002390	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/000/ERR6002390/ERR6002390.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002390/Ion_B2_1.IonCode_0204.fastq.gz	
PRJEB45207	SAMEA8898620	ERX5643147	ERR6002391	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/001/ERR6002391/ERR6002391.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002391/Ion_B2_2.IonCode_0205.fastq.gz	
PRJEB45207	SAMEA8898620	ERX5643148	ERR6002392	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/002/ERR6002392/ERR6002392.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002392/Ion_B2_3.IonCode_0206.fastq.gz	
PRJEB45207	SAMEA8898620	ERX5643149	ERR6002393	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/003/ERR6002393/ERR6002393.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002393/Ion_B3_1.IonCode_0236.fastq.gz	
PRJEB45207	SAMEA8898620	ERX5643150	ERR6002394	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/004/ERR6002394/ERR6002394.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002394/Ion_B3_2.IonCode_0237.fastq.gz	
PRJEB45207	SAMEA8898620	ERX5643151	ERR6002395	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/005/ERR6002395/ERR6002395.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002395/Ion_B3_3.IonCode_0238.fastq.gz	
PRJEB45207	SAMEA8898620	ERX5643152	ERR6002396	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/006/ERR6002396/ERR6002396.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002396/Ion_B4_1.IonCode_0268.fastq.gz	
PRJEB45207	SAMEA8898620	ERX5643153	ERR6002397	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/007/ERR6002397/ERR6002397.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002397/Ion_B4_2.IonCode_0269.fastq.gz	
PRJEB45207	SAMEA8898620	ERX5643154	ERR6002398	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/008/ERR6002398/ERR6002398.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002398/Ion_B4_3.IonCode_0270.fastq.gz	
PRJEB45207	SAMEA8898620	ERX5643155	ERR6002399	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/009/ERR6002399/ERR6002399.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002399/Pac_B_1.fastq.gz	
PRJEB45207	SAMEA8898620	ERX5643156	ERR6002400	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/000/ERR6002400/ERR6002400.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002400/Pac_B_2.fastq.gz	
PRJEB45207	SAMEA8898620	ERX5643157	ERR6002401	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/001/ERR6002401/ERR6002401.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002401/Pac_B_3.fastq.gz	
PRJEB45207	SAMEA8898620	ERX5643158	ERR6002402	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/002/ERR6002402/ERR6002402.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002402/MIN_B.fastq.gz	
PRJEB45207	SAMEA8898621	ERX5643159	ERR6002403	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/003/ERR6002403/ERR6002403.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002403/Ion_C1_1.IonCode_0176.fastq.gz	
PRJEB45207	SAMEA8898621	ERX5643160	ERR6002404	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/004/ERR6002404/ERR6002404.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002404/Ion_C1_2.IonCode_0177.fastq.gz	
PRJEB45207	SAMEA8898621	ERX5643161	ERR6002405	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/005/ERR6002405/ERR6002405.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002405/Ion_C1_3.IonCode_0178.fastq.gz	
PRJEB45207	SAMEA8898621	ERX5643162	ERR6002406	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/006/ERR6002406/ERR6002406.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002406/Ion_C2_1.IonCode_0207.fastq.gz	
PRJEB45207	SAMEA8898621	ERX5643163	ERR6002407	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/007/ERR6002407/ERR6002407.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002407/Ion_C2_2.IonCode_0208.fastq.gz	
PRJEB45207	SAMEA8898621	ERX5643164	ERR6002408	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/008/ERR6002408/ERR6002408.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002408/Ion_C2_3.IonCode_0209.fastq.gz	
PRJEB45207	SAMEA8898621	ERX5643165	ERR6002409	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/009/ERR6002409/ERR6002409.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002409/Ion_C3_1.IonCode_0239.fastq.gz	
PRJEB45207	SAMEA8898621	ERX5643166	ERR6002410	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/000/ERR6002410/ERR6002410.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002410/Ion_C3_2.IonCode_0240.fastq.gz	
PRJEB45207	SAMEA8898621	ERX5643167	ERR6002411	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/001/ERR6002411/ERR6002411.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002411/Ion_C3_3.IonCode_0241.fastq.gz	
PRJEB45207	SAMEA8898621	ERX5643168	ERR6002412	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/002/ERR6002412/ERR6002412.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002412/Ion_C4_1.IonCode_0271.fastq.gz	
PRJEB45207	SAMEA8898621	ERX5643169	ERR6002413	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/003/ERR6002413/ERR6002413.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002413/Ion_C4_2.IonCode_0272.fastq.gz	
PRJEB45207	SAMEA8898621	ERX5643170	ERR6002414	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/004/ERR6002414/ERR6002414.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002414/Ion_C4_3.IonCode_0273.fastq.gz	
PRJEB45207	SAMEA8898621	ERX5643171	ERR6002415	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/005/ERR6002415/ERR6002415.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002415/Pac_C_1.fastq.gz	
PRJEB45207	SAMEA8898621	ERX5643172	ERR6002416	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/006/ERR6002416/ERR6002416.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002416/Pac_C_2.fastq.gz	
PRJEB45207	SAMEA8898621	ERX5643173	ERR6002417	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/007/ERR6002417/ERR6002417.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002417/Pac_C_3.fastq.gz	
PRJEB45207	SAMEA8898621	ERX5643174	ERR6002418	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/008/ERR6002418/ERR6002418.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002418/MIN_C.fastq.gz	
PRJEB45207	SAMEA8898622	ERX5643175	ERR6002419	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/009/ERR6002419/ERR6002419.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002419/Ion_D1_1.IonCode_0179.fastq.gz	
PRJEB45207	SAMEA8898622	ERX5643176	ERR6002420	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/000/ERR6002420/ERR6002420.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002420/Ion_D1_2.IonCode_0180.fastq.gz	
PRJEB45207	SAMEA8898622	ERX5643177	ERR6002421	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/001/ERR6002421/ERR6002421.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002421/Ion_D1_3.IonCode_0181.fastq.gz	
PRJEB45207	SAMEA8898622	ERX5643178	ERR6002422	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/002/ERR6002422/ERR6002422.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002422/Ion_D2_1.IonCode_0210.fastq.gz	
PRJEB45207	SAMEA8898622	ERX5643179	ERR6002423	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/003/ERR6002423/ERR6002423.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002423/Ion_D2_2.IonCode_0211.fastq.gz	
PRJEB45207	SAMEA8898622	ERX5643180	ERR6002424	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/004/ERR6002424/ERR6002424.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002424/Ion_D2_3.IonCode_0212.fastq.gz	
PRJEB45207	SAMEA8898622	ERX5643181	ERR6002425	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/005/ERR6002425/ERR6002425.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002425/Ion_D3_1.IonCode_0242.fastq.gz	
PRJEB45207	SAMEA8898622	ERX5643182	ERR6002426	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/006/ERR6002426/ERR6002426.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002426/Ion_D3_2.IonCode_0243.fastq.gz	
PRJEB45207	SAMEA8898622	ERX5643183	ERR6002427	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/007/ERR6002427/ERR6002427.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002427/Ion_D3_3.IonCode_0244.fastq.gz	
PRJEB45207	SAMEA8898622	ERX5643184	ERR6002428	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/008/ERR6002428/ERR6002428.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002428/Ion_D4_1.IonCode_0274.fastq.gz	
PRJEB45207	SAMEA8898622	ERX5643185	ERR6002429	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/009/ERR6002429/ERR6002429.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002429/Ion_D4_2.IonCode_0275.fastq.gz	
PRJEB45207	SAMEA8898622	ERX5643186	ERR6002430	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/000/ERR6002430/ERR6002430.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002430/Ion_D4_3.IonCode_0276.fastq.gz	
PRJEB45207	SAMEA8898622	ERX5643187	ERR6002431	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/001/ERR6002431/ERR6002431.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002431/Pac_D_1.fastq.gz	
PRJEB45207	SAMEA8898622	ERX5643188	ERR6002432	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/002/ERR6002432/ERR6002432.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002432/Pac_D_2.fastq.gz	
PRJEB45207	SAMEA8898622	ERX5643189	ERR6002433	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/003/ERR6002433/ERR6002433.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002433/Pac_D_3.fastq.gz	
PRJEB45207	SAMEA8898622	ERX5643190	ERR6002434	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/004/ERR6002434/ERR6002434.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002434/MIN_D.fastq.gz	
PRJEB45207	SAMEA8898623	ERX5643191	ERR6002435	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/005/ERR6002435/ERR6002435.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002435/Ion_E1_1.IonCode_0182.fastq.gz	
PRJEB45207	SAMEA8898623	ERX5643192	ERR6002436	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/006/ERR6002436/ERR6002436.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002436/Ion_E1_2.IonCode_0183.fastq.gz	
PRJEB45207	SAMEA8898623	ERX5643193	ERR6002437	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/007/ERR6002437/ERR6002437.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002437/Ion_E1_3.IonCode_0184.fastq.gz	
PRJEB45207	SAMEA8898623	ERX5643194	ERR6002438	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/008/ERR6002438/ERR6002438.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002438/Ion_E2_1.IonCode_0213.fastq.gz	
PRJEB45207	SAMEA8898623	ERX5643195	ERR6002439	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/009/ERR6002439/ERR6002439.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002439/Ion_E2_2.IonCode_0214.fastq.gz	
PRJEB45207	SAMEA8898623	ERX5643196	ERR6002440	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/000/ERR6002440/ERR6002440.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002440/Ion_E2_3.IonCode_0215.fastq.gz	
PRJEB45207	SAMEA8898623	ERX5643197	ERR6002441	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/001/ERR6002441/ERR6002441.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002441/Ion_E3_1.IonCode_0245.fastq.gz	
PRJEB45207	SAMEA8898623	ERX5643198	ERR6002442	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/002/ERR6002442/ERR6002442.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002442/Ion_E3_2.IonCode_0246.fastq.gz	
PRJEB45207	SAMEA8898623	ERX5643199	ERR6002443	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/003/ERR6002443/ERR6002443.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002443/Ion_E3_3.IonCode_0247.fastq.gz	
PRJEB45207	SAMEA8898623	ERX5643200	ERR6002444	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/004/ERR6002444/ERR6002444.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002444/Ion_E4_1.IonCode_0277.fastq.gz	
PRJEB45207	SAMEA8898623	ERX5643201	ERR6002445	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/005/ERR6002445/ERR6002445.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002445/Ion_E4_2.IonCode_0278.fastq.gz	
PRJEB45207	SAMEA8898623	ERX5643202	ERR6002446	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/006/ERR6002446/ERR6002446.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002446/Ion_E4_3.IonCode_0279.fastq.gz	
PRJEB45207	SAMEA8898623	ERX5643203	ERR6002447	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/007/ERR6002447/ERR6002447.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002447/Pac_E_1.fastq.gz	
PRJEB45207	SAMEA8898623	ERX5643204	ERR6002448	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/008/ERR6002448/ERR6002448.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002448/Pac_E_2.fastq.gz	
PRJEB45207	SAMEA8898623	ERX5643205	ERR6002449	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/009/ERR6002449/ERR6002449.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002449/Pac_E_3.fastq.gz	
PRJEB45207	SAMEA8898623	ERX5643206	ERR6002450	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/000/ERR6002450/ERR6002450.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002450/MIN_E.fastq.gz	
PRJEB45207	SAMEA8898624	ERX5643207	ERR6002451	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/001/ERR6002451/ERR6002451.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002451/Ion_F1_1.IonCode_0185.fastq.gz	
PRJEB45207	SAMEA8898624	ERX5643208	ERR6002452	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/002/ERR6002452/ERR6002452.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002452/Ion_F1_2.IonCode_0186.fastq.gz	
PRJEB45207	SAMEA8898624	ERX5643209	ERR6002453	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/003/ERR6002453/ERR6002453.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002453/Ion_F1_3.IonCode_0187.fastq.gz	
PRJEB45207	SAMEA8898624	ERX5643210	ERR6002454	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/004/ERR6002454/ERR6002454.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002454/Ion_F2_1.IonCode_0216.fastq.gz	
PRJEB45207	SAMEA8898624	ERX5643211	ERR6002455	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/005/ERR6002455/ERR6002455.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002455/Ion_F2_2.IonCode_0217.fastq.gz	
PRJEB45207	SAMEA8898624	ERX5643212	ERR6002456	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/006/ERR6002456/ERR6002456.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002456/Ion_F2_3.IonCode_0218.fastq.gz	
PRJEB45207	SAMEA8898624	ERX5643213	ERR6002457	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/007/ERR6002457/ERR6002457.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002457/Ion_F3_1.IonCode_0248.fastq.gz	
PRJEB45207	SAMEA8898624	ERX5643214	ERR6002458	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/008/ERR6002458/ERR6002458.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002458/Ion_F3_2.IonCode_0249.fastq.gz	
PRJEB45207	SAMEA8898624	ERX5643215	ERR6002459	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/009/ERR6002459/ERR6002459.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002459/Ion_F3_3.IonCode_0250.fastq.gz	
PRJEB45207	SAMEA8898624	ERX5643216	ERR6002460	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/000/ERR6002460/ERR6002460.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002460/Ion_F4_1.IonCode_0280.fastq.gz	
PRJEB45207	SAMEA8898624	ERX5643217	ERR6002461	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/001/ERR6002461/ERR6002461.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002461/Ion_F4_2.IonCode_0281.fastq.gz	
PRJEB45207	SAMEA8898624	ERX5643218	ERR6002462	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/002/ERR6002462/ERR6002462.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002462/Ion_F4_3.IonCode_0282.fastq.gz	
PRJEB45207	SAMEA8898624	ERX5643219	ERR6002463	1869227	bacterium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR600/003/ERR6002463/ERR6002463.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR600/ERR6002463/Pac_F_1.fastq.gz	
